,date,hometeam,score,oppteam
174,07-08-2022,West Ham,0 - 2,Man City
175,13-08-2022,Man City,4 - 0,Bournemouth
176,21-08-2022,Newcastle,3 - 3,Man City
177,27-08-2022,Man City,4 - 2,Crystal Palace
178,31-08-2022,Man City,6 - 0,Nott'm Forest
179,03-09-2022,Aston Villa,1 - 1,Man City
180,17-09-2022,Wolves,0 - 3,Man City
181,02-10-2022,Man City,6 - 3,Man United
182,08-10-2022,Man City,4 - 0,Southampton
183,16-10-2022,Liverpool,1 - 0,Man City
184,22-10-2022,Man City,3 - 1,Brighton
185,29-10-2022,Leicester,0 - 1,Man City
186,05-11-2022,Man City,2 - 1,Fulham
187,12-11-2022,Man City,1 - 2,Brentford
188,07-08-2022,Man United,1 - 2,Brighton
189,13-08-2022,Brentford,4 - 0,Man United
190,22-08-2022,Man United,2 - 1,Liverpool
191,27-08-2022,Southampton,0 - 1,Man United
192,01-09-2022,Leicester,0 - 1,Man United
193,04-09-2022,Man United,3 - 1,Arsenal
194,02-10-2022,Man City,6 - 3,Man United
195,09-10-2022,Everton,1 - 2,Man United
196,16-10-2022,Man United,0 - 0,Newcastle
197,19-10-2022,Man United,2 - 0,Tottenham
198,22-10-2022,Chelsea,1 - 1,Man United
199,30-10-2022,Man United,1 - 0,West Ham
200,06-11-2022,Aston Villa,3 - 1,Man United
201,13-11-2022,Fulham,1 - 2,Man United
202,06-08-2022,Newcastle,2 - 0,Nott'm Forest
203,13-08-2022,Brighton,0 - 0,Newcastle
204,21-08-2022,Newcastle,3 - 3,Man City
205,28-08-2022,Wolves,1 - 1,Newcastle
206,31-08-2022,Liverpool,2 - 1,Newcastle
207,03-09-2022,Newcastle,0 - 0,Crystal Palace
208,17-09-2022,Newcastle,1 - 1,Bournemouth
209,01-10-2022,Fulham,1 - 4,Newcastle
210,08-10-2022,Newcastle,5 - 1,Brentford
211,16-10-2022,Man United,0 - 0,Newcastle
212,19-10-2022,Newcastle,1 - 0,Everton
213,23-10-2022,Tottenham,1 - 2,Newcastle
214,29-10-2022,Newcastle,4 - 0,Aston Villa
215,06-11-2022,Southampton,1 - 4,Newcastle
216,12-11-2022,Newcastle,1 - 0,Chelsea
217,06-08-2022,Newcastle,2 - 0,Nott'm Forest
218,14-08-2022,Nott'm Forest,1 - 0,West Ham
219,20-08-2022,Everton,1 - 1,Nott'm Forest
220,28-08-2022,Nott'm Forest,0 - 2,Tottenham
221,31-08-2022,Man City,6 - 0,Nott'm Forest
222,03-09-2022,Nott'm Forest,2 - 3,Bournemouth
223,16-09-2022,Nott'm Forest,2 - 3,Fulham
224,03-10-2022,Leicester,4 - 0,Nott'm Forest
